JP Morgan Virtual Experience,1hvpxPZvTULHNbd0kPewBfDH06vX3fFV9,Successfully completed the JP Morgan Software Engineering Virtual Experience Program
Cisco Data Analytics,1KBenB5XBYYv1GiuqwK2IfTW3gvERiyLL,Completed the Data Analytics Essentials course from Cisco Academy with a score of 93%
Deloitte Virtual Experience,1qC-l5lBKPvXhzkyAeive3yxgs_gC5tAs,Completed Deloitte STEM Connect Virtual Experience
Goldman Sachs Virtual Experience,10zVp83IaciBDGKnwtdMeWGTRfY3IeJRx,Successfully completed the Goldman Sachs Software Engineering Virtual Experience Program and had the opportunity to crack a leaked password database
Cisco Data Science,1NooB0R9T4hf4SSNkIW5D5c0mZ7TSZeW4,Completed Data Science course from Cisco Networking Academy
Cisco Virtual Experience,1FPMmXAUM-QWAmDMhNI7Ec-4iPAufWK8_,Completed the Cisco Networking Academy Virtual Experience Program
MLSA Hackathon,1SW3D6LCLTs7UqQJgX86WuRipoAhyMPwX,Secured 1st position in Hackathon organized by MLSA KIIT
Python Essentials I,1lQFadRHdhGJ65Q8RLCpnyUai1OKAbWe9,Completed Python Essentials I course from Cisco Networking Academy
HPE CodeWar,1pANJFtkWy-3_auggF4xDUR9E3PDZvTzT,Secured AIR 66 in Coding Competition organized by HPE
Android Study Jam,1UK20git59Os2BLw-ZLkcnbO1iJ7iPHJ-,Completed Android Study Jam 2021
AWSome Day,1Gf82vndq6pg72irK5HyGMttrN46EgGuj,Attended AWSome Day online conference
